Date,Open,High,Low,Close*,Adj Close**,Volume
16-Feb-18,74.46,74.98,73.3,73.51,73.51,"6,980,700"
15-Feb-18,74.25,74.7,73.23,74.4,74.4,"4,274,200"
14-Feb-18,70.88,73.73,70.88,73.66,73.66,"8,043,500"
13-Feb-18,70.72,72.44,70.55,71.31,71.31,"5,535,300"
12-Feb-18,71.19,71.78,70.27,71.1,71.1,"2,653,800"
9-Feb-18,70.57,70.77,67.86,70.48,70.48,"6,129,800"
8-Feb-18,72.55,72.78,69.1,69.15,69.15,"5,742,000"
7-Feb-18,73.16,74.19,72.1,72.16,72.16,"3,373,100"
6-Feb-18,70.02,73.67,69.59,73.53,73.53,"7,436,500"
5-Feb-18,72.9,75.38,71.59,72.51,72.51,"10,552,400"
2-Feb-18,76.45,76.7,74.17,74.4,74.4,"8,327,000"
1-Feb-18,76.48,78.36,75.69,76.01,76.01,"8,098,000"
31-Jan-18,79,80.56,79,79.88,79.88,"6,639,200"
30-Jan-18,77.58,79.27,76.76,78.27,78.27,"7,326,500"
29-Jan-18,80,80.43,78.97,79.34,79.34,"9,719,600"
26-Jan-18,79.21,80.45,79,80.3,80.3,"17,423,400"
25-Jan-18,78.45,78.99,77.32,78.58,78.58,"7,840,100"
24-Jan-18,77.13,78.88,76.78,77.81,77.81,"6,297,000"
23-Jan-18,74.66,76.76,74,76.57,76.57,"13,687,700"
22-Jan-18,74.6,74.6,73.58,74.16,74.16,"5,015,400"
19-Jan-18,74.39,74.67,73.71,74.36,74.36,"7,203,300"
18-Jan-18,73.86,74.71,73.72,74.23,74.23,"5,404,600"
17-Jan-18,74.41,74.6,72.86,74.14,74.14,"4,933,800"
16-Jan-18,76.44,77.01,73.71,73.92,73.92,"7,014,100"
12-Jan-18,76.45,76.59,75.68,75.85,75.85,"4,078,400"
11-Jan-18,76.54,76.78,76.04,76.14,76.14,"9,457,900"
10-Jan-18,75.76,76.66,75.45,76.51,76.51,"14,777,900"
9-Jan-18,77.02,77.23,75.83,76.59,76.59,"4,907,400"
8-Jan-18,76.21,76.81,75.98,76.48,76.48,"5,287,900"
5-Jan-18,75.08,76.57,74.91,76.49,76.49,"6,284,000"
4-Jan-18,74.1,75.22,74.01,74.57,74.57,"8,290,900"
3-Jan-18,73.5,73.86,72.77,73.78,73.78,"7,401,700"
2-Jan-18,70.77,73.35,70.55,73.13,73.13,"11,437,300"
29-Dec-17,69.79,70.13,69.43,69.85,69.85,"6,612,700"
28-Dec-17,70.12,70.32,69.51,69.82,69.82,"7,556,900"
27-Dec-17,69.77,70.49,69.69,70.06,70.06,"6,345,100"
26-Dec-17,70.94,71.39,69.63,69.86,69.86,"8,542,800"
22-Dec-17,71.42,71.87,71.22,71.58,71.58,"10,979,200"
21-Dec-17,71,72.17,70.88,71.59,71.59,"9,682,700"
20-Dec-17,70.6,71.05,70.17,70.9,70.9,"12,887,800"
19-Dec-17,69.7,70.36,69.38,70.21,70.21,"14,655,000"
18-Dec-17,70.54,70.74,69.95,70.14,70.14,"6,777,000"
15-Dec-17,69.35,70.54,68.66,70.29,70.29,"19,517,600"
14-Dec-17,70.6,70.62,68.84,69.23,69.23,"17,077,100"
13-Dec-17,69.8,71.76,69.69,71.24,71.24,"17,321,300"
12-Dec-17,71.07,71.15,69.55,69.77,69.77,"11,296,200"
11-Dec-17,71.7,72.09,71.15,71.53,71.53,"7,359,300"
8-Dec-17,71,71.63,70.82,71.25,71.25,"7,020,900"
7-Dec-17,69.75,70.64,69.48,70.22,70.22,"7,084,600"
6-Dec-17,67.78,69.62,67.36,69.41,69.41,"11,646,600"
5-Dec-17,67.1,69.38,66.62,68.13,68.13,"11,963,100"
4-Dec-17,71.06,71.34,68.16,68.31,68.31,"15,533,600"
1-Dec-17,69.8,71.25,69.47,70.1,70.1,"19,712,900"
30-Nov-17,70.31,70.84,69.37,70.06,70.06,"19,215,600"
29-Nov-17,71.61,71.7,68.51,70.36,70.36,"15,976,000"
28-Nov-17,72.25,72.48,71.49,71.98,71.98,"11,936,700"
27-Nov-17,72.82,73.12,71.92,72.07,72.07,"7,630,100"
24-Nov-17,72.47,73.18,72.31,72.93,72.93,"3,356,300"
22-Nov-17,73.02,73.25,72.46,72.6,72.6,"6,721,500"
21-Nov-17,72.66,73.14,72.31,72.85,72.85,"9,514,300"
20-Nov-17,71.6,72.53,71.43,71.95,71.95,"14,666,300"
17-Nov-17,70.81,71.37,70.74,71.02,71.02,"14,298,500"
16-Nov-17,69.8,71.22,69.8,70.75,70.75,"7,509,900"
15-Nov-17,68.23,69.55,68.05,69.43,69.43,"9,144,200"
14-Nov-17,70,70.15,69.1,69.52,69.52,"5,194,100"
13-Nov-17,70.66,71.39,70.01,70.27,70.27,"5,256,900"
10-Nov-17,70.6,70.75,69.94,70.55,70.55,"4,439,900"
9-Nov-17,70.46,70.68,68.77,70.19,70.19,"10,054,900"
8-Nov-17,72,72.2,71.09,71.16,71.16,"7,363,100"
7-Nov-17,72.2,72.47,71.62,72.22,72.22,"9,164,800"
6-Nov-17,70.27,71.96,70.27,71.71,71.71,"7,129,300"
3-Nov-17,71.01,71.4,69.84,70.23,70.23,"6,321,500"
2-Nov-17,72.06,72.47,69.84,70.51,70.51,"10,054,600"
1-Nov-17,70.85,71.39,69.84,70.59,70.59,"9,883,600"
31-Oct-17,69.5,70.27,68.96,70.12,70.12,"10,680,500"
30-Oct-17,68.04,68.96,67.94,68.86,68.86,"7,764,600"
27-Oct-17,66.6,67.73,65.87,67.52,67.52,"7,607,800"
26-Oct-17,65.5,66.01,65.07,65.57,65.57,"4,967,300"
25-Oct-17,66.66,67.04,65.19,65.4,65.4,"4,550,600"
24-Oct-17,66.69,67.2,66.4,66.61,66.61,"3,667,000"
23-Oct-17,67.63,68,66.4,66.51,66.51,"3,959,100"
20-Oct-17,67.65,68.36,67.45,67.51,67.51,"7,149,400"
19-Oct-17,66.97,67.54,66.65,67.45,67.45,"4,271,300"
18-Oct-17,67.2,68.04,66.98,67.79,67.79,"5,361,800"
17-Oct-17,68,68.1,66.63,66.78,66.78,"4,264,400"
16-Oct-17,67.91,68.13,67.36,68.04,68.04,"4,523,200"
13-Oct-17,68.17,68.18,67.38,67.52,67.52,"3,380,900"
12-Oct-17,69,69.23,67.8,67.91,67.91,"4,111,000"
11-Oct-17,68.75,69.38,68.71,69.22,69.22,"4,251,800"
10-Oct-17,68.51,69.51,68.51,68.93,68.93,"5,689,000"
9-Oct-17,67.85,69.06,67.75,68.74,68.74,"2,763,900"
6-Oct-17,67.49,68.08,67.32,67.85,67.85,"1,939,100"
5-Oct-17,67.75,68.1,66.96,67.72,67.72,"3,451,700"
4-Oct-17,67.79,68.22,67.48,67.66,67.66,"4,289,700"
3-Oct-17,67.19,67.93,66.96,67.81,67.81,"5,709,600"
2-Oct-17,66.6,66.98,66.29,66.51,66.51,"20,424,000"
29-Sep-17,65.64,66.61,65.64,66.24,66.24,"5,452,400"
28-Sep-17,65.9,66.19,65.54,65.58,65.58,"7,214,800"
27-Sep-17,65.13,66.27,65.01,65.8,65.8,"13,978,900"
26-Sep-17,65.08,65.82,64.24,64.45,64.45,"6,654,400"
25-Sep-17,67,67,64.21,64.96,64.96,"18,001,300"
22-Sep-17,66.45,67.39,66.23,67.34,67.34,"8,523,300"
21-Sep-17,67,67.22,66.06,66.59,66.59,"4,123,900"
