Date,Open,High,Low,Close*,Adj Close**,Volume
16-Feb-18,9.7,9.85,9.65,9.65,9.65,"107,100"
15-Feb-18,9.6,9.9,9.5,9.8,9.8,"379,100"
14-Feb-18,9.4,9.5,9.4,9.5,9.5,"407,300"
13-Feb-18,9.55,9.65,9.45,9.5,9.5,"188,900"
12-Feb-18,9.4,9.65,9.2,9.6,9.6,"323,900"
9-Feb-18,9.55,9.55,9.05,9.35,9.35,"377,600"
8-Feb-18,9.75,9.75,9.35,9.5,9.5,"582,300"
7-Feb-18,9.7,10,9.6,9.75,9.75,"333,100"
6-Feb-18,9.55,9.9,9.45,9.75,9.75,"431,500"
5-Feb-18,9.9,9.9,9.5,9.55,9.55,"515,700"
2-Feb-18,10.15,10.15,9.9,10,10,"438,900"
1-Feb-18,10.2,10.33,10.1,10.2,10.2,"285,000"
31-Jan-18,10,10.3,10,10.25,10.25,"542,400"
30-Jan-18,9.85,10,9.85,10,10,"157,300"
29-Jan-18,10.1,10.2,9.85,9.9,9.9,"359,500"
26-Jan-18,9.95,10.2,9.9,10.2,10.2,"1,067,700"
25-Jan-18,9.6,10,9.6,9.9,9.9,"756,900"
24-Jan-18,9.5,9.7,9.45,9.6,9.6,"450,800"
23-Jan-18,9.65,9.73,9.35,9.39,9.39,"824,200"
22-Jan-18,9.6,9.7,9.6,9.7,9.7,"326,900"
19-Jan-18,9.8,9.85,9.5,9.65,9.65,"659,800"
18-Jan-18,9.75,9.8,9.65,9.8,9.8,"383,700"
17-Jan-18,9.6,9.85,9.5,9.8,9.8,"545,300"
16-Jan-18,9.55,9.75,9.5,9.55,9.55,"343,700"
12-Jan-18,9.35,9.55,9.35,9.55,9.55,"191,400"
11-Jan-18,9.35,9.5,9.3,9.35,9.35,"646,500"
10-Jan-18,9.5,9.6,9.3,9.3,9.3,"408,700"
9-Jan-18,9.9,9.95,9.45,9.5,9.5,"572,900"
8-Jan-18,9.75,10,9.75,9.92,9.92,"292,200"
5-Jan-18,10.1,10.15,9.7,9.7,9.7,"354,200"
4-Jan-18,10.05,10.25,10,10.2,10.2,"288,700"
3-Jan-18,10.2,10.25,10,10.08,10.08,"276,300"
2-Jan-18,10.35,10.4,10.15,10.2,10.2,"200,500"
29-Dec-17,10.3,10.4,10.2,10.35,10.35,"160,300"
28-Dec-17,10.3,10.45,10.25,10.35,10.35,"234,600"
27-Dec-17,10.2,10.3,10.09,10.3,10.3,"307,800"
26-Dec-17,10.15,10.25,10,10.15,10.15,"155,600"
22-Dec-17,10.15,10.5,10,10.2,10.2,"495,500"
21-Dec-17,10.05,10.2,10,10.15,10.15,"295,600"
20-Dec-17,9.9,10.05,9.75,10.05,10.05,"372,500"
19-Dec-17,9.9,10.05,9.78,9.8,9.8,"289,000"
18-Dec-17,10.05,10.1,9.85,9.9,9.9,"186,800"
15-Dec-17,9.9,10.05,9.8,9.95,9.95,"524,400"
14-Dec-17,9.85,9.95,9.8,9.8,9.8,"164,000"
13-Dec-17,9.8,10,9.75,9.85,9.85,"534,700"
12-Dec-17,9.45,9.8,9.4,9.75,9.75,"310,900"
11-Dec-17,9.6,9.63,9.4,9.45,9.45,"215,700"
8-Dec-17,9.4,9.8,9.35,9.65,9.65,"428,800"
7-Dec-17,9.3,9.45,9.2,9.3,9.3,"453,100"
6-Dec-17,9.65,9.65,9.3,9.3,9.3,"521,300"
5-Dec-17,9.65,9.75,9.55,9.55,9.55,"240,400"
4-Dec-17,10,10.05,9.6,9.6,9.6,"688,100"
1-Dec-17,10,10.15,9.8,10,10,"474,400"
30-Nov-17,10.2,10.25,9.85,9.95,9.95,"568,100"
29-Nov-17,10.35,10.45,10.1,10.25,10.25,"353,500"
28-Nov-17,10.25,10.5,10.2,10.35,10.35,"454,300"
27-Nov-17,10.2,10.3,10.12,10.25,10.25,"438,200"
24-Nov-17,10.4,10.4,10.25,10.25,10.25,"191,500"
22-Nov-17,10.3,10.45,10.25,10.4,10.4,"281,800"
21-Nov-17,10.15,10.35,10.05,10.3,10.3,"387,900"
20-Nov-17,10.05,10.15,9.85,10.05,10.05,"521,700"
17-Nov-17,10.3,10.3,9.95,10.1,10.1,"562,200"
16-Nov-17,10,10.4,10,10.25,10.25,"278,100"
15-Nov-17,10.05,10.05,9.8,9.95,9.95,"525,400"
14-Nov-17,10.15,10.2,9.53,9.7,9.7,"794,700"
13-Nov-17,10.25,10.35,10.2,10.2,10.2,"218,500"
10-Nov-17,10.45,10.6,10.05,10.25,10.25,"391,500"
9-Nov-17,10.5,10.6,10.35,10.5,10.5,"314,800"
8-Nov-17,10.05,10.5,10,10.45,10.45,"820,100"
7-Nov-17,10.26,10.5,9.9,9.96,9.96,"536,500"
6-Nov-17,10.3,10.38,10.1,10.3,10.3,"458,500"
3-Nov-17,10.4,10.45,10.25,10.25,10.25,"561,100"
2-Nov-17,10.2,10.5,10.19,10.4,10.4,"410,000"
1-Nov-17,10.1,10.3,10,10.25,10.25,"407,100"
31-Oct-17,10,10.18,10,10,10,"343,500"
30-Oct-17,10.15,10.2,9.8,10,10,"406,900"
27-Oct-17,10.15,10.2,9.9,10.1,10.1,"262,200"
26-Oct-17,10.1,10.35,10,10.15,10.15,"260,000"
25-Oct-17,10.35,10.45,9.85,10.1,10.1,"361,300"
24-Oct-17,10.55,10.65,10.15,10.35,10.35,"465,400"
23-Oct-17,10.6,10.8,10.55,10.6,10.6,"1,132,600"
20-Oct-17,10.25,10.6,10.25,10.5,10.5,"1,166,600"
19-Oct-17,10,10.5,9.85,10.35,10.35,"690,100"
18-Oct-17,10,10.2,9.95,10.1,10.1,"454,700"
17-Oct-17,10,10.05,9.85,10,10,"237,800"
16-Oct-17,10,10.1,9.7,10,10,"351,200"
13-Oct-17,10,10.15,9.95,10,10,"208,000"
12-Oct-17,9.85,10,9.8,9.96,9.96,"219,500"
11-Oct-17,9.8,10.05,9.7,9.9,9.9,"342,800"
10-Oct-17,9.8,9.9,9.55,9.8,9.8,"190,100"
9-Oct-17,9.85,10,9.55,9.75,9.75,"324,000"
6-Oct-17,9.85,9.85,9.55,9.75,9.75,"517,400"
5-Oct-17,10.05,10.05,9.85,9.85,9.85,"359,600"
4-Oct-17,10.15,10.2,10.01,10.05,10.05,"236,500"
3-Oct-17,10,10.28,9.95,10.25,10.25,"432,400"
2-Oct-17,10.05,10.1,9.9,10.1,10.1,"280,500"
29-Sep-17,9.7,10.35,9.65,10.05,10.05,"616,700"
28-Sep-17,9.6,9.9,9.35,9.75,9.75,"505,100"
27-Sep-17,9.3,9.7,9.2,9.65,9.65,"389,900"
