Date,Open,High,Low,Close*,Adj Close**,Volume
16-Feb-18,26.49,27.9,26.48,"159,300",27.64,"211,200"
15-Feb-18,25.62,26.5,25.62,26.25,26.25,"144,400"
14-Feb-18,25.31,25.68,25.3,25.43,25.43,"80,800"
13-Feb-18,25.46,25.8,25.26,25.52,25.52,"70,900"
12-Feb-18,25.69,25.77,25.33,25.55,25.55,"75,400"
9-Feb-18,25.96,25.96,25.3,25.77,25.77,"107,400"
8-Feb-18,26.32,26.32,25.8,25.84,25.77,"84,200"
7-Feb-18,25.76,26.35,25.55,26.25,26.17,"125,300"
6-Feb-18,25.27,26.06,25.15,25.86,25.78,"169,000"
5-Feb-18,26.23,26.58,25.48,25.6,25.53,"207,800"
2-Feb-18,26.45,26.6,26.19,26.29,26.21,"81,700"
1-Feb-18,26.51,26.7,26.08,26.47,26.39,"112,600"
31-Jan-18,26.89,27,26.24,26.63,26.55,"316,600"
30-Jan-18,26.69,26.91,26.66,26.83,26.75,"125,100"
29-Jan-18,27,27.01,26.76,26.76,26.68,"435,000"
26-Jan-18,27.1,27.67,26.62,26.99,26.91,"73,400"
25-Jan-18,27.16,27.25,26.73,26.98,26.9,"190,800"
24-Jan-18,26.77,27.23,26.56,27.11,27.03,"167,500"
23-Jan-18,26.37,26.65,25.95,26.61,26.53,"53,700"
22-Jan-18,26.08,26.39,25.79,26.35,26.27,"86,800"
19-Jan-18,26.08,26.48,25.71,26.11,26.03,"175,900"
18-Jan-18,26.45,26.5,25.97,26.11,26.03,"159,300"
17-Jan-18,26.86,26.86,26.14,26.44,26.36,"162,300"
16-Jan-18,26.66,27.14,26.65,26.73,26.65,"88,900"
12-Jan-18,26.41,26.6,26.34,26.6,26.52,"135,000"
11-Jan-18,26.22,26.56,26.22,26.41,26.33,"82,900"
10-Jan-18,26.05,26.32,26.01,26.22,26.14,"97,900"
9-Jan-18,26.8,26.8,26.11,26.15,26.07,"76,400"
8-Jan-18,26.42,26.81,26.28,26.71,26.63,"110,500"
5-Jan-18,26.52,26.67,26.27,26.42,26.34,"69,900"
4-Jan-18,26.4,26.71,26.27,26.46,26.38,"130,600"
3-Jan-18,25.96,26.31,25.64,26.21,26.13,"119,400"
2-Jan-18,25.72,25.98,25.57,25.96,25.88,"105,300"
29-Dec-17,26.13,26.13,25.69,25.71,25.64,"56,900"
28-Dec-17,25.69,26.17,25.69,26.08,26,"61,300"
27-Dec-17,25.59,25.8,25.59,25.68,25.61,"44,900"
26-Dec-17,25.77,25.84,25.6,25.65,25.58,"39,900"
22-Dec-17,26.07,26.12,25.53,25.75,25.68,"81,200"
21-Dec-17,26.12,26.12,25.88,25.9,25.82,"91,300"
20-Dec-17,26.35,26.35,25.9,26.01,25.93,"75,200"
19-Dec-17,26.32,26.5,26.18,26.27,26.19,"125,400"
18-Dec-17,26.38,26.47,26.14,26.23,26.15,"107,200"
15-Dec-17,25.86,26.32,25.86,26.21,26.13,"199,800"
14-Dec-17,26.29,26.29,25.83,25.84,25.77,"58,300"
13-Dec-17,26.27,26.54,26.15,26.3,26.22,"70,700"
12-Dec-17,26.36,26.5,26.2,26.33,26.25,"78,500"
11-Dec-17,26.64,26.66,26.23,26.34,26.26,"80,200"
8-Dec-17,26.53,26.78,26.34,26.63,26.55,"535,800"
7-Dec-17,26.47,26.67,26.22,26.52,26.44,"82,900"
6-Dec-17,26.1,26.57,25.71,26.49,26.41,"100,400"
5-Dec-17,25.92,26.19,25.76,26.12,26.04,"78,700"
4-Dec-17,25.89,26.06,25.71,25.92,25.84,"66,400"
1-Dec-17,25.71,25.79,25.29,25.67,25.6,"87,800"
30-Nov-17,26.01,26.03,25.48,25.62,25.55,"105,800"
29-Nov-17,25.24,25.86,24.81,25.79,25.72,"139,900"
28-Nov-17,25.03,25.29,24.88,25.22,25.15,"79,100"
27-Nov-17,24.74,25.06,24.74,24.93,24.86,"68,900"
24-Nov-17,25.11,25.11,24.57,24.74,24.67,"35,700"
22-Nov-17,25.18,25.2,24.97,25.01,24.94,"38,800"
21-Nov-17,24.86,25.09,24.55,25.07,25,"95,400"
20-Nov-17,24.96,25.06,24.73,24.8,24.73,"61,500"
17-Nov-17,24.56,25.04,24.55,24.97,24.9,"137,100"
16-Nov-17,24.46,24.78,24.46,24.68,24.61,"133,900"
15-Nov-17,24.46,24.85,24.46,24.63,24.56,"120,900"
14-Nov-17,24.5,24.69,24.46,24.57,24.5,"52,200"
13-Nov-17,24.85,25.28,24.54,24.63,24.56,"69,200"
10-Nov-17,25.03,25.1,24.88,24.89,24.82,"55,100"
9-Nov-17,25.03,25.22,24.94,25.03,24.88,"71,000"
8-Nov-17,25.3,25.36,25.06,25.15,25,"62,000"
7-Nov-17,25.76,25.82,25.26,25.4,25.25,"92,800"
6-Nov-17,25.62,25.84,25.51,25.7,25.55,"57,600"
3-Nov-17,25.94,26,25.66,25.74,25.59,"48,700"
2-Nov-17,25.89,26.06,25.81,25.94,25.79,"77,100"
1-Nov-17,26,26,25.37,25.71,25.56,"91,600"
31-Oct-17,25.46,25.95,25.39,25.9,25.75,"71,600"
30-Oct-17,25.61,25.97,25.22,25.4,25.25,"99,300"
