Date,Open,High,Low,Close*,Adj Close**,Volume
16-Feb-18,178.99,179.88,176.3,177.36,177.36,"20,645,300"
15-Feb-18,180.5,180.5,176.84,179.96,179.96,"20,922,100"
14-Feb-18,173.45,179.81,173.21,179.52,179.52,"28,929,700"
13-Feb-18,175.62,175.97,173.1,173.15,173.15,"21,809,400"
12-Feb-18,177.06,177.55,171.84,176.41,176.41,"32,092,100"
9-Feb-18,174.76,176.9,167.18,176.11,176.11,"39,887,600"
8-Feb-18,181.01,181.84,171.48,171.58,171.58,"38,478,300"
7-Feb-18,184.15,185.08,179.95,180.18,180.18,"27,601,900"
6-Feb-18,178.57,185.77,177.74,185.31,185.31,"37,758,500"
5-Feb-18,186.93,190.61,180.61,181.26,181.26,"33,128,200"
2-Feb-18,192.04,194.21,189.98,190.28,190.28,"26,677,500"
1-Feb-18,188.22,195.32,187.89,193.09,193.09,"54,211,300"
31-Jan-18,188.37,189.83,185.22,186.89,186.89,"43,275,100"
30-Jan-18,187.62,188.18,181.84,187.12,187.12,"20,858,600"
29-Jan-18,188.75,188.84,185.63,185.98,185.98,"20,453,200"
26-Jan-18,187.75,190,186.81,190,190,"17,759,200"
25-Jan-18,187.95,188.62,186.6,187.48,187.48,"17,377,700"
24-Jan-18,189.89,190.66,186.52,186.55,186.55,"24,334,500"
23-Jan-18,186.05,189.55,185.55,189.35,189.35,"25,678,800"
22-Jan-18,180.8,185.39,180.41,185.37,185.37,"21,059,500"
19-Jan-18,180.85,182.37,180.17,181.29,181.29,"26,826,500"
18-Jan-18,178.13,180.98,177.08,179.8,179.8,"23,304,900"
17-Jan-18,179.26,179.32,175.8,177.6,177.6,"27,992,400"
16-Jan-18,181.5,181.75,178.04,178.39,178.39,"36,183,800"
12-Jan-18,178.06,181.48,177.4,179.37,179.37,"77,551,300"
11-Jan-18,188.4,188.4,187.38,187.77,187.77,"9,588,600"
10-Jan-18,186.94,187.89,185.63,187.84,187.84,"10,529,900"
9-Jan-18,188.7,188.8,187.1,187.87,187.87,"12,393,100"
8-Jan-18,187.2,188.9,186.33,188.28,188.28,"17,994,700"
5-Jan-18,185.59,186.9,184.93,186.85,186.85,"13,574,500"
4-Jan-18,184.9,186.21,184.1,184.33,184.33,"13,880,900"
3-Jan-18,181.88,184.78,181.33,184.67,184.67,"16,886,600"
2-Jan-18,177.68,181.58,177.55,181.42,181.42,"18,151,900"
29-Dec-17,178,178.85,176.46,176.46,176.46,"10,261,500"
28-Dec-17,177.95,178.94,177.68,177.92,177.92,"12,220,800"
27-Dec-17,176.55,178.44,176.26,177.62,177.62,"9,496,100"
26-Dec-17,176.63,177,174.67,175.99,175.99,"8,897,300"
22-Dec-17,177.14,177.53,176.23,177.2,177.2,"8,509,500"
21-Dec-17,177.94,178.68,177.05,177.45,177.45,"11,600,700"
20-Dec-17,179.81,179.81,177.36,177.89,177.89,"11,860,500"
19-Dec-17,179.95,180.08,178.22,179.51,179.51,"14,920,600"
18-Dec-17,181.01,181.3,179.75,180.82,180.82,"17,265,400"
15-Dec-17,179.02,180.49,178.36,180.18,180.18,"28,463,100"
14-Dec-17,178.29,180.36,177.68,178.39,178.39,"13,591,000"
13-Dec-17,177.3,179.16,177.25,178.3,178.3,"14,615,700"
12-Dec-17,178.6,179.18,176.6,176.96,176.96,"16,854,100"
11-Dec-17,179.3,180.22,178.8,179.04,179.04,"13,168,600"
8-Dec-17,181.53,182.28,178.74,179,179,"19,883,800"
7-Dec-17,175.8,180.39,175.8,180.14,180.14,"20,404,500"
6-Dec-17,172.5,176.77,171.9,176.06,176.06,"20,255,800"
5-Dec-17,170.45,175.38,169.01,172.83,172.83,"20,184,900"
4-Dec-17,176.29,176.57,170.79,171.47,171.47,"24,459,400"
1-Dec-17,176.03,177.48,172.34,175.1,175.1,"20,182,500"
30-Nov-17,176.85,178.28,175.2,177.18,177.18,"25,307,600"
29-Nov-17,181.89,181.97,174,175.13,175.13,"41,933,500"
28-Nov-17,183.51,184.25,182.09,182.42,182.42,"14,379,700"
27-Nov-17,182.56,183.73,181.99,183.03,183.03,"12,344,500"
24-Nov-17,180.4,183.15,180.29,182.78,182.78,"9,426,300"
22-Nov-17,181.3,181.73,180.44,180.87,180.87,"10,376,300"
21-Nov-17,179.15,181.89,178.99,181.86,181.86,"14,504,000"
20-Nov-17,178.87,179.5,178.1,178.74,178.74,"10,052,400"
17-Nov-17,179.3,179.98,178.9,179,179,"13,018,000"
16-Nov-17,178.76,179.83,178.5,179.59,179.59,"15,607,600"
15-Nov-17,176.66,178.57,176.4,177.95,177.95,"10,253,700"
14-Nov-17,178.13,178.97,177.18,178.07,178.07,"9,585,900"
13-Nov-17,177.5,179.04,177.3,178.77,178.77,"9,523,400"
10-Nov-17,178.35,179.1,177.96,178.46,178.46,"11,070,200"
9-Nov-17,178.31,179.4,177.09,179.3,179.3,"12,610,300"
8-Nov-17,179.79,180.35,179.11,179.56,179.56,"10,494,100"
7-Nov-17,180.5,180.75,178.96,180.25,180.25,"12,928,200"
6-Nov-17,178.56,180.45,178.31,180.17,180.17,"13,312,700"
3-Nov-17,179.29,179.86,176.71,178.92,178.92,"17,822,100"
2-Nov-17,180.63,181.94,177.34,178.92,178.92,"35,529,900"
1-Nov-17,182.36,182.9,180.57,182.66,182.66,"40,918,300"
31-Oct-17,180.57,180.8,178.94,180.06,180.06,"20,174,200"
30-Oct-17,179.26,180.69,177.61,179.87,179.87,"24,353,200"
27-Oct-17,174.15,178.21,173.9,177.88,177.88,"30,285,300"
26-Oct-17,171.38,172.29,170.39,170.63,170.63,"11,833,100"
25-Oct-17,171.9,172.25,168.89,170.6,170.6,"15,868,200"
24-Oct-17,172.3,173.24,171.5,171.8,171.8,"12,267,900"
23-Oct-17,175.2,175.34,171.25,171.27,171.27,"13,852,700"
20-Oct-17,175.5,175.88,174.63,174.98,174.98,"12,602,200"
19-Oct-17,174.93,176.03,172.63,174.56,174.56,"14,048,400"
18-Oct-17,176.65,176.74,175.75,176.03,176.03,"12,752,400"
17-Oct-17,174.71,176.13,174.36,176.11,176.11,"15,990,100"
16-Oct-17,174.49,175,174.06,174.52,174.52,"11,498,800"
13-Oct-17,173.45,174.65,173.2,173.74,173.74,"13,658,300"
12-Oct-17,172.61,173.85,172.29,172.55,172.55,"10,351,000"
11-Oct-17,171.95,172.78,171.4,172.74,172.74,"11,283,700"
10-Oct-17,173,173.2,170.8,171.59,171.59,"11,341,100"
9-Oct-17,172.7,174.88,172,172.5,172.5,"14,570,400"
6-Oct-17,170.25,172.37,169.75,172.23,172.23,"13,124,500"
5-Oct-17,169.18,171.31,168.6,171.24,171.24,"14,580,600"
4-Oct-17,169.83,170.67,168.29,168.42,168.42,"12,127,900"
3-Oct-17,169.3,170.73,169.2,169.96,169.96,"8,190,300"
2-Oct-17,171.39,171.87,168.75,169.47,169.47,"13,392,300"
29-Sep-17,168.83,171.66,168.81,170.87,170.87,"15,340,400"
28-Sep-17,167.94,169.07,167.16,168.73,168.73,"12,178,700"
27-Sep-17,165.9,168.34,165.57,167.68,167.68,"19,242,500"
26-Sep-17,164.5,165.5,162.78,164.21,164.21,"23,363,300"
25-Sep-17,169.24,169.3,161.56,162.87,162.87,"41,251,600"
22-Sep-17,170.21,171.73,169.22,170.54,170.54,"12,097,100"
21-Sep-17,171.69,172.27,170.01,171.11,171.11,"11,161,400"
20-Sep-17,172.5,173.05,170.7,172.17,172.17,"12,264,100"
19-Sep-17,170.62,172.56,170.36,172.52,172.52,"13,168,600"
18-Sep-17,171.99,172.07,169.34,170.01,170.01,"12,954,000"
15-Sep-17,170.88,172.34,170.26,171.64,171.64,"15,660,500"
14-Sep-17,172.26,172.28,170.5,170.96,170.96,"15,615,700"
13-Sep-17,173.01,173.17,172.06,173.05,173.05,"9,119,300"
12-Sep-17,173.76,174,171.75,172.96,172.96,"11,186,300"
11-Sep-17,172.4,173.89,172.2,173.51,173.51,"12,372,000"
8-Sep-17,173.09,173.49,170.8,170.95,170.95,"10,998,500"
7-Sep-17,171.94,173.31,170.27,173.21,173.21,"18,049,500"
6-Sep-17,170.91,172.48,169.57,172.09,172.09,"13,906,300"
5-Sep-17,171.27,172.39,169.55,170.72,170.72,"13,210,900"
1-Sep-17,172.4,172.92,171.31,172.02,172.02,"11,677,600"
31-Aug-17,170.4,172.15,170.06,171.97,171.97,"17,226,500"
30-Aug-17,168.17,170.18,167.63,169.92,169.92,"11,138,300"
29-Aug-17,165.25,168.43,165,168.05,168.05,"11,121,000"
28-Aug-17,166.91,167.7,166.33,167.24,167.24,"8,553,700"
25-Aug-17,167.86,168.38,166.18,166.32,166.32,"12,614,500"
24-Aug-17,168.88,169.29,166.41,167.74,167.74,"14,030,400"
23-Aug-17,168.84,169.36,168.2,168.71,168.71,"9,856,500"
22-Aug-17,168.28,169.87,167.15,169.64,169.64,"11,391,000"
21-Aug-17,167.16,168,165.82,167.78,167.78,"11,907,500"
18-Aug-17,166.84,168.67,166.21,167.41,167.41,"15,093,600"
17-Aug-17,169.34,169.86,166.85,166.91,166.91,"17,216,000"
16-Aug-17,171.25,171.38,169.24,170,170,"15,779,900"
15-Aug-17,171.49,171.5,170.01,171,171,"8,729,200"
14-Aug-17,170.09,171.08,169.29,170.75,170.75,"12,954,200"
11-Aug-17,167.95,168.82,166.85,168.08,168.08,"13,791,200"
10-Aug-17,170.06,170.59,166.85,167.4,167.4,"20,832,700"
9-Aug-17,169.98,171.45,169.56,171.18,171.18,"10,815,000"
8-Aug-17,171.88,173.05,170.62,171.23,171.23,"14,393,500"
7-Aug-17,169.95,172.06,169.66,171.98,171.98,"12,787,800"
4-Aug-17,168.97,170.06,168.69,169.62,169.62,"10,777,700"
3-Aug-17,169.3,169.7,168.25,168.59,168.59,"10,793,800"
2-Aug-17,170.3,170.55,166.91,169.3,169.3,"17,433,800"
1-Aug-17,169.82,170.47,169.05,169.86,169.86,"14,385,000"
31-Jul-17,172,172.72,168.55,169.25,169.25,"25,478,900"
28-Jul-17,169.07,173.43,169.05,172.45,172.45,"24,557,600"
27-Jul-17,174.7,175.49,167.5,170.44,170.44,"68,910,700"
26-Jul-17,166.01,166.01,164.1,165.61,165.61,"35,236,900"
25-Jul-17,165.01,165.54,163.86,165.28,165.28,"15,383,200"
24-Jul-17,164.64,166.17,164.31,166,166,"17,367,000"
21-Jul-17,164.16,165.05,163.75,164.43,164.43,"14,744,000"
20-Jul-17,164.8,165,162.81,164.53,164.53,"18,523,100"
19-Jul-17,163.59,165.7,163.17,164.14,164.14,"26,273,600"
18-Jul-17,159.66,163.73,159.42,162.86,162.86,"23,722,900"
17-Jul-17,160.25,160.78,158.81,159.73,159.73,"12,858,800"
14-Jul-17,160.13,160.32,159.33,159.97,159.97,"16,371,200"
13-Jul-17,158.74,159.78,158.42,159.26,159.26,"13,929,200"
12-Jul-17,156.49,159.16,156.2,158.9,158.9,"22,739,400"
11-Jul-17,153.37,155.42,152.91,155.27,155.27,"13,667,700"
10-Jul-17,151.69,153.98,151.51,153.5,153.5,"13,378,700"
7-Jul-17,149.25,151.99,149.19,151.44,151.44,"13,615,900"
6-Jul-17,149.03,150.04,148,148.82,148.82,"14,951,800"
5-Jul-17,149,150.85,148.13,150.34,150.34,"14,334,300"
3-Jul-17,151.72,152.15,147.8,148.43,148.43,"13,862,700"
30-Jun-17,151.9,151.92,150.06,150.98,150.98,"17,666,000"
29-Jun-17,152.28,152.5,148.92,151.04,151.04,"23,973,500"
28-Jun-17,150.92,153.47,149.86,153.24,153.24,"16,719,100"
27-Jun-17,152.84,153.31,150.39,150.58,150.58,"19,360,800"
26-Jun-17,156.25,156.5,153.2,153.59,153.59,"18,049,700"
23-Jun-17,152.72,155.2,152.65,155.07,155.07,"18,027,000"
22-Jun-17,153.01,154.55,152.91,153.4,153.4,"13,005,500"
21-Jun-17,152.36,154.08,151.88,153.91,153.91,"15,039,800"
20-Jun-17,152.88,153.84,152.21,152.25,152.25,"14,743,900"
19-Jun-17,151.71,153.57,151.71,152.87,152.87,"19,026,500"
16-Jun-17,149.59,150.83,148.6,150.64,150.64,"22,882,400"
15-Jun-17,147.67,150.04,146.37,149.8,149.8,"18,994,200"
14-Jun-17,151.26,152.4,149.05,150.25,150.25,"20,808,800"
13-Jun-17,150.15,151.18,148.9,150.68,150.68,"20,483,400"
12-Jun-17,148.17,149.2,144.56,148.44,148.44,"33,170,200"
9-Jun-17,154.77,155.59,146.61,149.6,149.6,"35,577,700"
8-Jun-17,154.08,154.73,153.1,154.71,154.71,"17,719,700"
7-Jun-17,153.27,153.75,152.34,153.12,153.12,"12,066,700"
