Date,Open,High,Low,Close*,Adj Close**,Volume
16-Feb-18,9.8,10.32,9.8,10.23,10.23,"1,176,800"
15-Feb-18,9.25,10.06,9.25,9.81,9.81,"2,187,400"
14-Feb-18,8.58,9.17,8.58,9.09,9.09,"972,300"
13-Feb-18,8.68,8.75,8.6,8.69,8.69,"569,600"
12-Feb-18,8.8,8.95,8.58,8.73,8.73,"907,700"
9-Feb-18,8.85,8.97,8.52,8.8,8.8,"1,675,200"
8-Feb-18,9.15,9.15,8.7,8.81,8.81,"1,428,600"
7-Feb-18,8.9,9.25,8.9,9.18,9.18,"1,511,300"
6-Feb-18,8.8,9.04,8.74,8.94,8.94,"1,308,500"
5-Feb-18,9.11,9.27,8.93,8.96,8.96,"1,123,800"
2-Feb-18,9.15,9.38,9.06,9.2,9.2,"896,700"
1-Feb-18,9.59,9.67,9.15,9.22,9.22,"1,306,300"
31-Jan-18,9.68,9.77,9.54,9.64,9.64,"815,000"
30-Jan-18,9.81,9.89,9.58,9.67,9.67,"869,800"
29-Jan-18,10,10.08,9.83,9.9,9.9,"604,200"
26-Jan-18,10.05,10.2,9.99,10.05,10.05,"652,800"
25-Jan-18,10.24,10.46,9.96,10.04,10.04,"774,200"
24-Jan-18,10.51,10.56,10.21,10.22,10.22,"827,300"
23-Jan-18,10.44,10.52,10.31,10.48,10.48,"768,900"
22-Jan-18,10.2,10.43,10.16,10.41,10.41,"478,500"
19-Jan-18,10.11,10.28,9.96,10.23,10.23,"507,100"
18-Jan-18,10.17,10.31,10.06,10.13,10.13,"472,900"
17-Jan-18,10.1,10.28,9.85,10.19,10.19,"862,200"
16-Jan-18,10.35,10.46,10.02,10.09,10.09,"963,300"
12-Jan-18,10.48,10.67,10.33,10.35,10.35,"792,900"
11-Jan-18,10.56,10.75,10.31,10.45,10.45,"1,280,900"
10-Jan-18,10.83,10.93,10.51,10.56,10.56,"676,500"
9-Jan-18,10.96,11.22,10.82,10.91,10.91,"554,700"
8-Jan-18,11.13,11.36,10.9,10.98,10.98,"688,900"
5-Jan-18,11.15,11.36,11.05,11.15,11.15,"624,500"
4-Jan-18,11.38,11.41,11.13,11.15,11.15,"623,600"
3-Jan-18,11.45,11.64,11.23,11.3,11.3,"863,900"
2-Jan-18,11.35,11.55,11.15,11.36,11.36,"646,600"
29-Dec-17,11.49,11.5,11.23,11.28,11.28,"882,400"
28-Dec-17,11.55,11.6,11.23,11.44,11.44,"578,400"
27-Dec-17,11.43,11.75,11.41,11.56,11.56,"1,930,400"
26-Dec-17,11.03,11.55,11.02,11.45,11.45,"579,200"
22-Dec-17,11.14,11.16,10.97,11.05,11.05,"296,800"
21-Dec-17,11.29,11.29,11.13,11.18,11.18,"817,900"
20-Dec-17,11.2,11.26,10.98,11.23,11.23,"1,123,000"
19-Dec-17,11.18,11.19,10.94,11.15,11.15,"897,000"
18-Dec-17,10.81,11.2,10.79,11.19,11.19,"1,240,200"
15-Dec-17,10.73,10.8,10.44,10.76,10.76,"1,200,700"
14-Dec-17,10.39,10.85,10.38,10.68,10.68,"1,466,900"
13-Dec-17,10.56,10.68,10.3,10.39,10.39,"939,700"
12-Dec-17,10.76,10.86,10.58,10.61,10.61,"495,700"
11-Dec-17,10.84,10.9,10.54,10.77,10.77,"921,100"
8-Dec-17,10.73,10.96,10.63,10.96,10.96,"600,000"
7-Dec-17,10.61,10.88,10.52,10.63,10.63,"689,700"
6-Dec-17,11.16,11.23,10.61,10.64,10.64,"1,117,100"
5-Dec-17,10.95,11.2,10.89,11.15,11.15,"1,004,800"
4-Dec-17,11.41,11.41,10.8,11.01,11.01,"1,088,100"
1-Dec-17,11.05,11.23,10.73,11.23,11.23,"1,090,500"
30-Nov-17,10.75,11.02,10.59,11.01,11.01,"1,148,700"
29-Nov-17,10.5,10.69,10.49,10.68,10.68,"918,100"
28-Nov-17,10.35,10.53,10.18,10.52,10.52,"983,900"
27-Nov-17,10.15,10.42,10.15,10.29,10.29,"1,045,900"
24-Nov-17,10.11,10.18,10,10.11,10.11,"235,700"
22-Nov-17,10.03,10.07,9.74,10.05,10.05,"1,254,200"
21-Nov-17,10.24,10.28,9.99,9.99,9.99,"982,300"
20-Nov-17,10.53,10.59,10.13,10.17,10.17,"1,986,200"
17-Nov-17,10.67,11.23,10.3,10.54,10.54,"3,466,300"
16-Nov-17,9.96,10.93,9.88,10.65,10.65,"3,040,300"
15-Nov-17,9.55,9.77,9.46,9.74,9.74,"813,200"
14-Nov-17,9.65,9.76,9.58,9.65,9.65,"875,800"
13-Nov-17,9.64,9.91,9.52,9.76,9.76,"1,263,400"
10-Nov-17,9.66,9.86,9.57,9.72,9.72,"1,544,300"
9-Nov-17,9.79,9.99,9.44,9.72,9.72,"1,848,300"
8-Nov-17,9.08,9.9,9.01,9.75,9.75,"2,808,400"
7-Nov-17,8.98,9.2,8.62,9.11,9.11,"1,499,500"
6-Nov-17,8.76,9.06,8.57,8.85,8.85,"2,229,400"
3-Nov-17,8.88,9.1,8.63,8.75,8.75,"3,305,300"
2-Nov-17,10.33,10.89,8.88,8.95,8.95,"4,405,100"
1-Nov-17,9.99,10.09,9.75,9.93,9.93,"2,065,100"
31-Oct-17,9.9,10.06,9.87,9.94,9.94,"982,100"
30-Oct-17,10.01,10.05,9.83,9.92,9.92,"924,800"
27-Oct-17,10.06,10.09,9.94,9.99,9.99,"780,400"
26-Oct-17,10.13,10.13,9.94,10.02,10.02,"1,242,900"
25-Oct-17,10.56,10.59,10.04,10.08,10.08,"1,788,200"
24-Oct-17,10.69,10.78,10.52,10.58,10.58,"1,452,200"
23-Oct-17,10.64,10.67,10.45,10.57,10.57,"703,700"
20-Oct-17,10.45,10.73,10.26,10.65,10.65,"1,173,700"
19-Oct-17,10.73,10.9,10.34,10.35,10.35,"2,195,100"
18-Oct-17,10.8,10.91,10.41,10.83,10.83,"2,217,100"
17-Oct-17,10.68,11.01,10.67,10.9,10.9,"1,131,000"
16-Oct-17,11.16,11.26,10.68,10.73,10.73,"1,155,000"
13-Oct-17,11.35,11.42,11.15,11.15,11.15,"866,200"
12-Oct-17,11.65,11.75,11.38,11.38,11.38,"1,038,600"
11-Oct-17,11.75,11.97,11.55,11.69,11.69,"891,800"
10-Oct-17,11.75,11.76,11.55,11.71,11.71,"1,415,900"
9-Oct-17,11.82,11.88,11.6,11.71,11.71,"1,038,800"
6-Oct-17,12.1,12.26,11.77,11.78,11.78,"1,209,100"
5-Oct-17,12.1,12.14,11.85,12.11,12.11,"1,922,200"
4-Oct-17,11.91,12.18,11.91,12.05,12.05,"859,200"
3-Oct-17,11.95,12.02,11.86,11.94,11.94,"951,800"
2-Oct-17,11.77,11.99,11.77,11.97,11.97,"778,100"
29-Sep-17,12.05,12.05,11.61,11.81,11.81,"1,522,400"
28-Sep-17,12.2,12.26,11.92,12.03,12.03,"744,800"
27-Sep-17,12.13,12.42,11.97,12.3,12.3,"1,350,100"
26-Sep-17,12.09,12.28,11.99,12.09,12.09,"844,200"
25-Sep-17,12.4,12.54,11.8,12,12,"1,324,600"
22-Sep-17,12.37,12.5,12.16,12.45,12.45,"1,080,800"
21-Sep-17,13.14,13.14,12.3,12.4,12.4,"1,420,700"
20-Sep-17,13.02,13.35,13.02,13.13,13.13,"740,100"
19-Sep-17,13.39,13.6,13.12,13.28,13.28,"2,552,300"
18-Sep-17,14.14,14.29,14.07,14.2,14.2,"614,900"
15-Sep-17,14.24,14.24,13.95,14.11,14.11,"1,017,300"
14-Sep-17,14.22,14.32,14.12,14.22,14.22,"935,900"
13-Sep-17,14.32,14.42,14.22,14.25,14.25,"351,300"
12-Sep-17,14.5,14.57,14.29,14.35,14.35,"375,700"
11-Sep-17,14.3,14.76,14.16,14.48,14.48,"1,092,600"
8-Sep-17,14.35,14.42,14.19,14.27,14.27,"416,000"
7-Sep-17,14.41,14.5,14.25,14.35,14.35,"532,000"
6-Sep-17,14.25,14.41,14.2,14.4,14.4,"715,800"
5-Sep-17,13.84,14.28,13.84,14.23,14.23,"1,156,700"
1-Sep-17,14.07,14.09,13.7,13.89,13.89,"781,500"
31-Aug-17,13.81,14.05,13.71,14.01,14.01,"1,341,000"
30-Aug-17,13.5,13.82,13.37,13.8,13.8,"573,400"
29-Aug-17,13.55,13.62,13.41,13.46,13.46,"615,400"
28-Aug-17,13.82,13.82,13.53,13.61,13.61,"736,100"
25-Aug-17,13.75,13.93,13.69,13.81,13.81,"540,800"
24-Aug-17,13.36,13.71,13.35,13.67,13.67,"627,900"
23-Aug-17,13.12,13.46,13.08,13.44,13.44,"562,500"
22-Aug-17,12.96,13.35,12.96,13.22,13.22,"1,168,300"
21-Aug-17,12.69,12.9,12.62,12.89,12.89,"580,300"
18-Aug-17,12.59,12.89,12.56,12.69,12.69,"846,000"
17-Aug-17,12.8,13.04,12.63,12.7,12.7,"826,900"
16-Aug-17,12.86,13.05,12.77,12.86,12.86,"474,500"
15-Aug-17,13.06,13.12,12.73,12.77,12.77,"635,700"
14-Aug-17,12.65,13.09,12.64,13.05,13.05,"730,500"
11-Aug-17,12.46,12.62,12.25,12.56,12.56,"468,900"
10-Aug-17,12.4,12.56,12.32,12.47,12.47,"609,900"
9-Aug-17,12.53,12.79,12.34,12.51,12.51,"770,900"
8-Aug-17,12.67,13,12.22,12.55,12.55,"1,086,400"
7-Aug-17,12.14,12.9,11.8,12.82,12.82,"2,231,200"
4-Aug-17,13.09,13.56,13.09,13.12,13.12,"1,910,000"
3-Aug-17,12.78,13.05,12.7,13,13,"1,155,000"
2-Aug-17,12.52,12.79,12.19,12.76,12.76,"920,800"
1-Aug-17,12.22,12.57,12.2,12.53,12.53,"513,300"
31-Jul-17,12.29,12.35,11.99,12.18,12.18,"554,100"
28-Jul-17,12.14,12.37,12.14,12.26,12.26,"285,000"
27-Jul-17,12.28,12.34,12.1,12.22,12.22,"417,000"
26-Jul-17,12.33,12.37,12.22,12.24,12.24,"346,600"
25-Jul-17,12.05,12.5,12.01,12.31,12.31,"538,600"
24-Jul-17,12.12,12.19,12.02,12.07,12.07,"364,900"
21-Jul-17,12.06,12.14,11.87,12.12,12.12,"375,500"
20-Jul-17,11.88,12.31,11.88,11.95,11.95,"676,400"
19-Jul-17,11.77,11.97,11.61,11.87,11.87,"556,800"
18-Jul-17,11.71,11.84,11.59,11.79,11.79,"519,200"
17-Jul-17,11.84,11.9,11.66,11.79,11.79,"419,000"
14-Jul-17,11.63,11.93,11.56,11.84,11.84,"737,800"
13-Jul-17,11.4,11.68,11.31,11.64,11.64,"476,400"
12-Jul-17,11.32,11.49,11.32,11.37,11.37,"301,200"
11-Jul-17,11.16,11.34,11.15,11.27,11.27,"439,700"
10-Jul-17,11.17,11.26,11.02,11.24,11.24,"437,600"
7-Jul-17,11.15,11.19,11.05,11.18,11.18,"342,700"
6-Jul-17,11.34,11.36,11.07,11.11,11.11,"648,300"
5-Jul-17,11.43,11.49,11.16,11.43,11.43,"481,900"
3-Jul-17,11.59,11.75,11.33,11.38,11.38,"399,800"
30-Jun-17,11.67,11.81,11.49,11.53,11.53,"543,100"
29-Jun-17,11.77,11.85,11.47,11.66,11.66,"407,300"
28-Jun-17,11.55,11.86,11.45,11.82,11.82,"580,100"
27-Jun-17,11.88,11.93,11.44,11.48,11.48,"539,100"
26-Jun-17,11.97,12,11.8,11.94,11.94,"332,500"
23-Jun-17,11.82,11.97,11.76,11.94,11.94,"562,800"
